Data,Situation,spam
"নেশা হাসায় - নেশাই কাঁদায়, নাই আমি আমার",dep,1
ভালোবাসা কেন এত কষ্টে,dep,1
"থাকতে হবে তোমায় ছাড়া কথা ছিলো না, আজ ভেতর ঘরে ধোঁয়া থাকে, তুমি থাকো না",dep,1
কি যেন জীবন থেকে হারিয়ে গেছে,dep,1
ভালোবাসার মায়া আজ আমায় মানসিক ভাবে পঙ্গু করেছে।,dep,1
এক্ষণ সত্যি কারের ভালোবাসার দাম কেও দেই না,dep,1
আমি যখন সব হারিয়ে একা হয়ে গেছি,dep,1
চোখের পানি আটকাতে পারছিনা,dep,1
বারবার‌ কেন জানি মনে হয় গানগুলো চিৎকার করে গাইলে মনের কষ্ট বের হয়ে আসবে আর জীবনের সব অসম্পূর্ণতাগুলো পূর্ণতা পাবে,dep,1
দু:খ আমার সাথেই আছে তবু দেখ দু:খী আমি নইতো,dep,1
নীরবে অভিমানে নিভৃতে করছ তিলে তিলে নিজেকে শেষ,dep,1
আম্মুর কথা মনে পড়ে গেল।গত এগার ই জানুয়ারী ফজরের সময় আম্মু আমাদের রেখে আল্লাহর কাছে চলে গেছেন,dep,1
"আম্মু যখন মারা গেলো,পাশে থাকতে পারি নি। তার গল্পগুলো আর শোনা হয় নি। গল্পকার হারিয়ে গেলো।এখনো সপ্নে দেখি",dep,1
আমার দেহখান নিও না শ্মশান এমনিতেও পুড়ে গেছি,dep,1
"তার কাছে গিয়ে ছিলাম এক আকাশ ভালোবাসা নিয়ে, কিন্তু তার কাছ থেকে আমায় এক আকাশ সমান হতাশা নিয়ে ফিরতে হয়েছে",dep,1
নয় মাসের ব্যবধানে আব্বু আম্মু দুজনেই মারা গেলো। দুনিয়াটা এখন অচেনা হয়ে গেছে। নিজেই নিজেকে চিনতে পারছি না,dep,1
সত্যি বলছি তোমাকে আর ভালোবাসি না,dep,1
"কাউকে বেশি ভালো বাসতে নেই , বাসলে তার কাছ থেকে অপমান তুচ্ছ তাচ্ছিল আর কষ্ট ছারা কিছুই পাবে না এটাই নিয়তি",dep,1
তবু মাঝে মাঝে মনে হয় মৃত্যুই কি শ্রেয় নয়,dep,1
নিকষ কালো এই আঁধারে স্মৃতিরা সব খেলা করে রয় শুধু নির্জনতা নির্জনতায় আমি একা,dep,1
প্রচন্ড মানষিক ভাবে ভেঙে পড়ে আছি,dep,1
দিন শেষে সৃতি গোলোই থেকে যায়. মানুষ গুলোই হারিয়ে যায়,dep,1
"এই গানটা প্রতিদিনই শুনি,মন থেকে শুনলে কাঁন্না চলে আসে",dep,1
পড়ে আছে কতো না স্মৃতি বন্দি মনের কারাগারে!,dep,1
হাসতেও ভুলে গেছিরে মন,dep,1
আমরন যন্ত্রণা,dep,1
সব মিথ্য মূত্যু এক মাত্রই সত্যি,dep,1
"যদি জীবন্ত লাশ গুলো অভিযোগ করত, তবে ফেঁসে যেত হাজারও প্রিয়জন!!",dep,1
"জীবনে অনেক বড় আঘাত পেয়েছি, তাই নিজেকে শক্ত করে গড়ে তোলার চেষ্টা করছি,, জীবনে আর কাওকে কোনদিন বিশ্বাস করবো না",dep,1
"ঠিক সাত বছর ধরে মানুষটাকে একতরফা ভালোবেসে যাচ্ছি, বিনিময়ে শুধু ইগনোর আর অবহেলা পেয়েছি",dep,1
কাউকে ছেড়ে থাকা খুব কষ্টের। কিন্তু তার চেয়েও বেশি কষ্টের হলো আসবেনা জেনেও তার জন্য অপেক্ষা করা,dep,1
বুকের ভিতরে আগুনে পুড়ে ক্ষত বিক্ষত করার জন্য গানের কথা গুলো তুষের মতো কাজ করছে ...,dep,1
নিত্য নেশায় শেষ আমি,dep,1
বুকের বা পাশটা ক্ষত বিক্ষত,dep,1
এই শহরে মৃত্যুর প্রতিযোগিতা চলছে~ ~হয়তো এই মিছিলে আমিও হারিয়ে যেতে পারি,dep,1
দীর্ঘ শ্বাস নিতে নিতে কখন যে শ্বাস বন্ধ হয়ে মৃত্যুর কোলে ঢলে পরবো বুঝতেই পারবে না!,dep,1
সারারাত কেঁদেও তোমার একটুখানি আশ্রয় পাইনি,dep,1
"এখনও ইচ্ছে করে তাকে নিয়ে স্বপ্ন দেখতে,আবারও পুরনো দিন ফিরে পেতে",dep,1
"জীবন্ত লাশ গুলো যদি,ময়না তদন্তে করা হতো, তাহলে, পেশে যেত ওনেক আপন জন",dep,1
ভিতরে ভিতরে তার জন্য কষ্ট অনুভব,dep,1
কোনো একদিন আমিও থাকবোনা,dep,1
সুখের কারণ না হয়ে নিকোটিন পোড়ানোর কারণ হয়ে যায়,dep,1
"কি অসহায়ত্ব, কি আর্তি",dep,1
"আমি আজ নিঃস্ব, বড়ই নিঃস্",dep,1
মন থেকে ভালবাসাটাই আসলে জীবনের বড় অপরাধ,dep,1
ভীষণ কষ্ট হয়,dep,1
মনের মাঝে একাকিত্ব বোধ হয়,dep,1
জানো কি আজও আমার একলা লাগে খুব,dep,1
তোমাকে খুঁজি আমি শ্রাবনের মেঘে,dep,1
একলা থাকার সময় গুলো এখন সিগারেট ছাড়া কিছুই চিনি না,dep,1
যানো কি আজও আমার একলা লাগে খুব,dep,1
নেশা কেটে গেলে তুমিও কেটে যাবে,dep,1
অস্থির তোলপাড় লাগছে,dep,1
সব স্বপ্ন ভেঙে চুরমার হয় যখন সে বুঝতে চায় না,dep,1
সব স্বপ্ন সত্যি হয় কার,dep,1
জীবনের কষ্টগুলো যদি শেষ হয়ে যেত,dep,1
"কতটা যন্ত্রনা দেয়, কতটা আফসোস, কতটা কষ্টের, কতটা দমবন্ধ করে দেয়",dep,1
আজ আমি বড্ড একলা পথিক,dep,1
সব স্বপ্ন সত্যি হয় না,dep,1
মনে হয় যে জীবন‌ই বৃথা,dep,1
অামি কষ্টের গান শুনতে ভালোবাসি,dep,1
অতীতের কথা মনে পড়ে ‌জীবন টা যেন ধূপের মতো,dep,1
যে হারায় সেই বোঝে হারানোর যন্ত্রণা কতটা তীব্র,dep,1
তোমাকে পেয়ে গেলে হয়তো একাকিত্বের কষ্ট কেমন হয় বুঝতাম না প্রেয়সী,dep,1
হৃদয়ে রক্তক্ষরণ হওয়ার মতই কস্ট,dep,1
"হঠাৎ করে মন খারাপ করার মত একটি গান, ভাবিয়ে তুলে একটা কঠিন বাস্তবকে নিয়ে",dep,1
জীবনটা অস্বস্তি লাগতেছে,dep,1
আমি ও আমার তারা এবং আমাদের অপূর্ণতার গল্প,dep,1
আমার একলা লাগে ভারী,dep,1
অস্তিত্বে একরাশ শূন্যতা,dep,1
শুধু শুধু ভালবেসেছো আর কষ্ট দিয়েছ ,dep,1
বিশ্বাস করেন আমার দেহ থেকে প্রানটা যেনো বেরিয়ে গেলো! চিৎকার করে কাদতে ইচ্ছে করে,dep,1
কারো কারো রাত একরাশ অভিমান নিয়েও কাটে,dep,1
আমি তাকে ছাড়া একদম ভালো নেই,dep,1
তৃষ্ণার্ত হৃদয়ে শুধুই আমি মরিচীকার মতো,dep,1
অভিমান জমা হয়ে থাকে,dep,1
অস্বাভাবিক নীরবতা থাকা সত্বেও কোথাও যেনো একটা না মানা শুন্যতা অনুভব করা যায়,dep,1
"আসলে অভিমান তো তারও হয়, আর নিরুপায় আমি",dep,1
"আমারও তো মন ভাঙে, চোখে জল আসে.. আর অভিমান আমারও তো হয়",dep,1
"আমারও তো মন ভাঙে, চোখে জল আসে.. আর অভিমান আমারও তো হয়",dep,1
নীরবতাই আমার না বলা কথা,dep,1
আমরা ব্যর্থ প্রেমিক,dep,1
স্মৃতি গুলা খুব যন্ত্রণা দেয়,dep,1
শুধু পাহাড় সমান কষ্ট আর এক বুক যন্ত্রণা,dep,1
"আমার ও তো মন ভাঙ্গে,চোখে জল আসে",dep,1
মন ভাঙ্গা অথবা চোখে জল আসার কষ্টের চাইতে সে কষ্ট লুকিয়ে হাসাটা অস্বাভাবিক কষ্টের,dep,1
দশ বছরে পরে টাকার কাছে হেরে যেতে হয়,dep,1
একটা মানুষ তখনই কাদে। যখন তার মনের সঙ্গে লড়াই করে পরাজিত হয়।,dep,1
বুকে অনেক কষ্ট আর কানে এই গান।,dep,1
একতরফা ভালবাসা মনে হয় পৃথিবীর সব থেকে বড় কষ্টের আঘাতের অন্য এক পৃথিবী,dep,1
এভাবেই কি চিরকাল কেদে যাবো,dep,1
যখন মানুষ টা থাকে না তখন বোঝা যায় যে সে কে ছিল জীবনে,dep,1
অভিমান এর পালা শেষ হবে একদিন,dep,1
একদিন সব ঠিক না হলেও;একদিন সব অভ্যাস হয়েই যায়,dep,1
পাগলের মতো দিশেহারা হয়ে ঘুরছি,dep,1
জানিনা তাকে ভুলতে পারবো কিনা। এখনো বিশ্বাস আছে যে সে আবার ফিরে আসবে স্বপ্ন হয়ে,dep,1
পাগলাই রয়েগেলাম,dep,1
ভালোবাসা ভুল মানুষকে ঘিরে হয়,dep,1
কিন্তু কবিতারা সেই কান্নার আওয়াজ শুনতে পাবে না,dep,1
ভালোবাসার শুরু হয় হাসি দিয়ে আর শেষ হয় কান্না দিয়ে,dep,1
তোমায় ছেড়ে থাকার আজ একশো দিন হচ্ছে,dep,1
নিরবে দুই চোখের পানি ছেড়ে অঝড়ে কান্না করবে,dep,1
"স্ত্রীর মৃত্যুর চেয়ে প্রেমিকার মৃত্যু বেশী ভয়ানক।স্ত্রীর লাশে অধিকার থাকে,প্রেমিকার লাশে অধিকার থাকে না।",dep,1
ভালোবেসে মরেছি,dep,1
"হারানো সেই বন্ধু, সেই সময় সব তুলে ধরে চোখের পানিটা গড়িয়ে গড়িয়ে পরতেছে",dep,1
হারিয়ে ফেলেছি তাকে,dep,1
ভাল্লাগেনা এই মিথ্যে শহর রাতের আড়ালে রই,dep,1
অতিরিক্ত ভরসা কাউকেই করা উচিত না - কখন জানি ধোকা দিয়ে চলে যায়,dep,1
আজ সে অন্য কারো,dep,1
"এতো গুরুত্ব দেওয়ার পরও যাদের প্রিয় হতে পারি নাই, - তাদের কৃতজ্ঞতা জানাই.!",dep,1
তুমি ছাড়া আর কেউ নেই!,dep,1
আফসোস..! - বোঝাতে পারিনি তোমায় কতটা ভালোবাসি,dep,1
তার সাথে কথা না বললে আমার খুব কষ্ট হয়,dep,1
দম বন্ধ হয়ে যাওয়ার মতো কেঁদেছিলাম,dep,1
খুব কষ্ট হচ্ছিল আমার,dep,1
তার রেখে জাওয়া সৃতি গুলো আজও কষ্ট দেয় অনেক। সৃতি গুলো ভুলতে দেয় না তাকে,dep,1
কারণ চিরদিন কেউই পাশে থাকে না,dep,1
কেউ ব্যস্ততা দেখাতে ব্যস্ত!! - আর কেউ অপেক্ষাতে আসক্ত!,dep,1
যন্ত্রনাটাই এমন হয় যে আওয়াজ টাই কেড়ে নেয়,dep,1
চোখের পানিতে বালিশ ভিজে সবার আড়ালে,dep,1
নিজের ভুলের জন্য তাকে হারিয়ে এখন সে আমার প্রাক্তন,dep,1
এ ভীষণ উদাসি,dep,1
হারিয়ে গেলে আর খুঁজলেও পাওয়া যায় না,dep,1
বাবা মারা যাওয়া সাত বছর হয়ে গেলো। বাবা ছাড়া জীবন পরিচালনা করা খুব কষ্টের,dep,1
আজ আমার বাবা দুনিয়ায় নেই আমি বুঝি বাবা নামক ভট গাছ টা মাথার উপর না থাকলে কত যে কষ্ট,dep,1
আজকে অনেক অসহায় লাগতাছে,dep,1
"কখনো অভিমান, অবাধ্য পিছুটান জানিনা কি কষ্টে এই অবেলায়",dep,1
কিন্তু কাউকে হারানোর কষ্ট মেনে নেওয়া যায় না,dep,1
চাকরি পেয়েছি ঠিক! কিন্ত চাকরিতে যার জন্য প্রবেশ করা তাকে কিন্ত পেলাম না,dep,1
"স্বপ্ন আর বিশ্বাস ভঙ্গের যে আঘাত তোমার কাছ থেকে পেয়েছি তা সহ্য করার ক্ষমতা আমার ছিলো না, কী যে কষ্ট আমি পেয়েছি",dep,1
চিৎকার করে কান্নাও করতে না পারার যে একটা ভয়ঙ্কর যন্ত্রণা আছে,dep,1
আমি কখনোই জানতাম না এক জীবনে সবকিছুর বিনিময়ে যাকে চাইবো সেই মানুষটাই এক সময় আস্তে আস্তে দূরে সরে যেতে পারে!,dep,1
"আমিও বেঁচে আছি কিন্তু একটুও ভালো নেই, একটুও না, ঘুমের ওষধ, অন্ধকারে সিগেরেট কালো ধুয়া",dep,1
"দুঃখ, হতাশা আর গ্লানির এই মাটির পৃথিবীতে আমাদের স্বপ্ন গুলো বাস্তবতার আঘাতে ভেঙ্গে চূর্ণ বিচূর্ণ হয়ে যায়",dep,1
ভালোবাসাটা এখন হৃদয়ে আর মানুষটা শুধুই অতিত,dep,1
বাবা তুমি ছাড়া আমার পৃথিবী অন্ধকার হয়ে গেছে।,dep,1
আমার কষ্টা রেখে দিলাম এই গানের মাঝে,dep,1
পাগলের মতো ভালোবাসার মানুষটা পাগল বানিয়েই চলে গেছে,dep,1
কষ্টের গান শুনতে শুনতে প্রতিটা রাতে আমি ঘুমাই,dep,1
বেকারত্ব এর কাছে হেরে গিয়েছি,dep,1
শুধু নিজের ভেতরেই নিজেকে ছিড়ে খাচ্ছে।,dep,1
প্রিয় বিশ্বাস করো আমি মনে হয় তোমার চিনতায় চিনতায় মানসিক পাগল হয়ে যাবো,dep,1
খনও যেনো কারো ভালোবাসা বিচ্ছেদ না হয় এবং কি আমার শত্রুরও যেন ভালোবাসা বিচ্ছেদ না হয়,dep,1
অনেক গান শুনেছি অনেকের লাইফের সাথে রিলেটেড৷ কিন্তু কখনো ভাবিনি যে আমার লাইফটাও একদিন গান হয়ে যাবে,dep,1
কখনও ভাবিনি চলে যাবে তুমি আমাকে এভাবে কাঁদিয়ে,dep,1
আমাকেই ছেড়ে দিয়ে চলে গেছে,dep,1
একতরফা ভালোবাসা গুলো অনেক কষ্টের হয়,dep,1
ফিরে কেউই আসেনা আমার ছোট পর্দার জীবনে প্রিয় সেই মানুষটার আক্ষেপ রয়ে গেল।,dep,1
এখনো রাতে জানালার পাশে বসে চাঁদের দিকে তাকিয়ে ভাবতে থাকি আবার যদি সে ফিরে আসে। হয়তো সেটা আমার ভুল ধারণা কোনো দিন ও আর ফিরবে না সে,dep,1
সে আমার থেকে গল্প শুনে অন্য কাউকে সেই গল্প শুনায়,dep,1
"তাকে খুঁজে বেড়াই। তাকে নিয়ে ভাবার অধিকার ছাড়িনি, তবে ছুয়ে দেখার অধিকার টা নিমিষেই কেড়ে নিয়েছে। তুমি হীন অনেকদিন, ভালো থেকো আমার ভালোবাসার মানুষ",dep,1
কিভাবে দিন কাটাচ্ছি শুধু আমি জানি- স্মৃতি গুলো ভেতরে জালিয়ে পুরে ছাই করে দিচ্ছে,dep,1
আজো জানালার দিকে তাকিয়ে তোমার আশায় থাকি,dep,1
কখনো ভাবিনি চলে যাবে তুমি আমাকে এভাবে কাঁদিয়ে,dep,1
ডিপ্রেশনে একা থাকতে নেই কিন্তু তখন সবাই একা রেখে চলে যায়,dep,1
আবারো কাঁদলাম অনেক দিন পর,dep,1
প্রায় আট টা মাস ডিপ্রেশনে ভুগেছিলাম।,dep,1
বহুবার আত্মহত্যার চিন্তা ও এসেছিল,dep,1
একজন ডিপ্রেশনের মানুষ ই জানে কতটা কষ্টের সময় পার করতে হয়,dep,1
"এমন একটা পর্যায়ে এসে পৌঁছেছি , না পারি কাঁদতে না পারি সবার সামনে , না হাসিমুখে থাকতে",dep,1
স্তব্ধ আমি কিছু বলার ভাষা নেই,dep,1
জীবনে অনেক সময় মৃত্যু একমাত্র সমাধান হয়।,dep,1
গতকাল রাতেও আমি আত্মহত্তা করার সিদ্ধান্ত নিছিলাম।,dep,1
অনেক ভালো ছিল অভিনয়।,dep,1
"ডিপ্রেশনে মানুষ যে কোনো কিছুই করে ফেলতে পারে,,,ডিপ্রেশন খুবি খারাপ,,,জিবনে কেউ হতাশ হয়ে পড়ো না",dep,1
মনটা বলতেছিলো গলায় দরি দেই। নয়তো হাতের রগ কেটে ফেলি নাইলে বিষ খাই।,dep,1
কিযে করমু মাথা কাজ করতাছিলো না।পাগল হয়ে যামু এমন অবস্থা,dep,1
ডিপ্রেশন খুব খারাপ,dep,1
আমার এতো পরিমানে কষ্ট হচ্ছিল যে মনে হচ্ছিল আত্মহত্তা করলে আমি এই কষ্ট থেকে মুক্তি পাবো।,dep,1
আসলে আমরা মেয়েরা খুব অসহায়। না বাবা মা আপন না জামাই,dep,1
আমি লাস্ট পনেরো দিন খুব বাজে ভাবে ডিপ্রেশনে ভুগেছি,dep,1
মাদের নিজস্ব কোনো থাকার জায়গা নাই,dep,1
ঠিক করে খাওয়া খাইতে পারি না ঘুমাইতে পারি না আমার কাছে যেনো সবকিছু খুবই বিরক্তিকর লাগছে,dep,1
নির্মম বাস্তবতা,dep,1
নাটকের মতো যদি বাস্তবেও Happy Ending হইতো তাহলে হাজার হাজার বাচ্চাদের আজ মানুষিক যন্ত্রণায় কাতরাতে হতো না,dep,1
"নিজের জীবন পুড়ে যায়,,,কিন্তু সে দোহনের ব্যাথা কেউ বোঝে না",dep,1
- যারা দুঃখ সহ্য করতে পারেনা। - তাদের কপালেই দুঃখ বেশি জোটে,dep,1
।আমার বাবা মায়ের সেপারেশনের আজ দশ বছর এখন যে যার মত সুখি আছে।বাট আমি পরে আছি সেই স্কুলের হোস্টেলে।প্রতিটা মুহুর্ত মিছ করি দুজন কে।,dep,1
একটা বাচ্চার জন্য পৃথিবীর সব চেয়ে কঠিন দৃশ্য হচ্ছে বাবা মা কে আলাদা হয়ে যেতে দেখা,dep,1
কি এক তিক্ত সত্য!!,dep,1
দিনশেষে সেই ভুলের মাশুল টা দিতে হয় তাদের ছেলে মেয়েকেই এটাই বাস্তবতা,dep,1
"নাটকটি দেখে মন চাইছিলো চিৎকার দিয়ে একটু কান্না করি কারণ জীবনের সাথে মিলে আছে,",dep,1
~প্রতিটা সমপর্কে ফাটল সৃষ্টি হয় ;যখন দুইজনের সমর্পকে কোন তৃতীয় ব্যাক্তির আগমন হয়,dep,1
সত্যিই খুবই কষ্টদায়ক,dep,1
"সেপারেশনের প্রায় তেরো বচ্ছর, জীবনটাতে এই ধরনের একটা বিচ্ছেদ ঘটে আলাদা হবে ফ্যামিলিটা দুইদিক হয়ে আজ দিশেহারা হয়ে চলছে জীবন কোনো এক নিজ গড়া সন্ধিক্ষণে ।",dep,1
৪ বছর পাগলের মতো ভালোবেসেও তাকে পাইনি৷,dep,1
অতিরিক্ত জেদ আর অবিশ্বাসের কারণের এমন অনেক সত্যিকারের ভালোবাসার মানুষ হারিয়ে যায়।,dep,1
যদি জীবন্ত লাশ গুলো অভিযোগ করতো তবে ফেশে যেত হাজারো প্রিয়জন,dep,1
"ভালোবাসা কত সুন্দর একটা শব্দ,, কিন্তু এই শব্দটি যাদের জীবনে এসেছে তারা সবাই কষ্ট আর বিশ্বাসঘাতকতা টাই পেয়েছে",dep,1
আজ শুধু পাশে নেই সে..,dep,1
ভালবাসা হারানোর পর এর মর্ম বুঝে সবাই,dep,1
ছোট ছোট ভুল বুঝাবুঝি কারনে শেষ হয়ে যেতে পারে সত্যিকার একটি ভালোবাসা,dep,1
এমন ভুল বোঝাবুঝির কারণে অনেক ভালোবাসা অপূর্ণ থেকে যায়,dep,1
ভালোবাসার মানুষকে হারানোর যন্ত্রণা কতো কঠিন,dep,1
চোখের পানি ঝড় ঝড় করে পরছে,dep,1
একটা মেয়ে কখনো চাইবে না তার ভালোবাসার মানুষটিকে ছাড়তে। কিন্তু পরিস্থিতির চাপে বাধ্য হতে হয়।,dep,1
পাগলের মত শুধু ভালোবাসলেই তাকে আপন করে পাওয়া যায় না,dep,1
হাসিটা সবার জন্য হতে পারে কিন্তু চোখের জল কোন এক বিশেষ মানুষের জন্য পড়ে,dep,1
আমরা যাকে খুব বেশি ভালোবাসি খুব করে চাই সেই মানুষ টাই তো আমাদের থেকে সারা জীবন এর জন্যে হারিয়ে যায়,dep,1
ভালো থেকো প্রিয়৷,dep,1
"আর মানুষের রাগ, সন্দেহ সত্যি কারের ভালোবাসাকে হারিয়ে দেয়",dep,1
রোমান্টিক সিন গুলো দেখলে বুকের ভেতরে খালি খালি লাগে...,dep,1
মানুষের জীবন বড়ই অদ্ভুত -কখন যে কোন দিকে মোড় দেই কেউ বলতে পারে না কান্নার মধ্যে বোধয় জীবনের শেষ অধ্যায় পার করে দিতে হবে,dep,1
"মৃত্যুর যন্ত্রণা যখন সহ্য হয়...! তখন, এ-সব আর কি",dep,1
খুব কষ্ট হয়,dep,1
পেন্সিল ছেড়ে যেদিন কলম ধরেছি সেদিন থেকে ভুল শুধরানোর সুযোগটা হারিয়ে ফেলেছি,dep,1
এমন যেন কারো জীবনে আর না হয়,dep,1
শুধু পরিবারের জন্য অনেক জীবন্ত লাশ বেচে আছে,dep,1
"মৃত্যুর আগ পর্যন্ত মনে থাকবে, অসহায়ের মতো কেঁদেছিলাম তারপরেও সে আমার হয়নি!",dep,1
"কষ্ট গুলো আঁকড়ে বেঁচে থাকার নাম জীবন আর সেই জীবনে গল্প তো থাকবেই। যেমন সেই দিন গুলো তো গল্প হয়ে আছে, কত শত চেষ্টাতেও মুছতে পারছিনা।",dep,1
(তাকে পেয়ে ও আমি হারিয়ে ফেলেছি এই চেয়ে কষ্টময় ফিলি্ংস আর পৃথিবীর বুকে নাই!,dep,1
আমি এখনো বেঁচে আছি,dep,1
মাঝে মাঝে কষ্ট উপভোগ করতে গভীর রাতে হাজির হয়ে যায়,dep,1
ক্ষণিকের জন্য নিস্তব্ধ হয়ে গেছিলাম,dep,1
একদিন তুমিও মিস করবে আমায় !! যেদিন আমি থাকবো না,dep,1
ভালোবাসায় এমন কেনো হয়??,dep,1
পরিস্থিতির শিকার হয়ে নিজে ভালোবাসার মানুষকে অন্যের হাতে তুলে দিতে হয়.....।,dep,1
"এই শহরে সবার'ই কষ্ট আছে.! - কেউ প্রকাশ করে, আর কেউ হাসির মাধ্যমে আড়াল করে.",dep,1
"আমার স্মৃতিগুলো.., বড্ড কাঁদাবে তোমায়.",dep,1
"পৃথিবীতে অনেক জীবন্ত লাশ আছে, যারা নিজের খুনিকেই সবথেকে বেশি ভালোবাসে",dep,1
"দিনশেষে ভালোবেসে পাগল ঐ ছেলেরাই হয়,আত্মহত্যা গুলোও ঐ ছেলেরাই করে",dep,1
"তোকে অন্য কেউ ছুঁবে,, সেতো আমার মৃত্যু যন্ত্রনা অনুভব",dep,1
আমি প্রয়োজনেই সীমাবদ্ধ,dep,1
দুইটা জিনিস নিজের অজান্তেই চলে যায় প্রেম আর মরন একটা নিয়ে যায় জীবন আর একটাতে নিয়ে যায়,dep,1
মেয়েরা এমন হয় কেনো,dep,1
"হয়তো গল্পটা শেষ, কিন্তু মনে থাকবে সারাজীবন",dep,1
"চেয়েছিলাম আর কখনো কাঁদবোই না,",dep,1
তুমি কি বুঝতে পারো না।,dep,1
"ধরো, দুই বছর পর হঠাৎ একদিন এই ভাবে দেখা হয়েগেছে। ",dep,1
হাসির পিছনে অন্ধকার রহস্য যা আপনি কখনই বুঝতে পারবেন না।,dep,1
একটা মুহূর্ত তোমাকে ছাড়া থাকাটা কতোটা কষ্টের হয়,dep,1
"হারিয়ে গেলে সবাই খুজে প্রিয়... -তুমিও খুজবে, কিন্তু পাবে নাহ আমায় প্রিয়",dep,1
কষ্ট তো তখন হয় যখন কেউ অনেকটা কাছে এসে আবার দুরে চলে যায়,dep,1
চেয়েছিলাম সুইসাইড করতে,dep,1
যে দিন ওহ আমাকে ছেড়ে চলে গেছে,dep,1
সে যেন তা ভালোবাসার মানুষকে হারায় তাহলে সে বুঝবে ভালোবাসা হারানো কতোটা কষ্ট,dep,1
বাস্তবতা অনেক কঠিন,dep,1
"হঠাৎ বুনোমেঘে ছেয়ে যায় একটা আকাশ, তারপর ঝিরিঝিরি বৃষ্টি একসময় বৃষ্টি শেষে সমাপ্ত হয়ে যায় আকাশের রিমঝিম কান্না,নিশ্চুপ হয়ে যায় যেনো সবকিছু",dep,1
শেষটা শুধু কান্না,dep,1
"বিধাতা তোমার লিলাখেলা বোঝা সত্যিই সাধ্য নাই কারোর,",dep,1
বুক ভেঙে যায়,dep,1
কারো মায়া পরে গেলে যত কিছুই হক সেই মায়া থেকে বের হওয়া আর যায় না মানসিক রগী হতেই হয়,dep,1
"সত্যি বলছি খুব ব্যাথা করছে বুকে বা পাশে,খুব কষ্ট হচ্ছে আমার",dep,1
কিছু ভালোবাসা মানুষকে পাগল বানিয়ে ছেড়ে দেয়,dep,1
স্মৃতির জোনাকি ছাড়া কিছুই নেই বুঁকের বা পাশে,dep,1
বুকের বা পাশে অনেক ব্যাথা নিয়ে বেচে থাকতে হয়।,dep,1
"সবাই যদি ভালোবাসা বুঝতো,, তাহলে রাস্তায় পাগলের সংখ্যা কমে যেত",dep,1
এতো কষ্ট,dep,1
